"","Year","Site","Treatment","Block","Plot","Species","Relative.Cover","Mean.Temp","SD.Temp","Richness"
"189",2012,"MAT","NFCT","2","3","Vac vit",0.0375,-9.45,16.82598099,14
"190",2012,"MAT","NFCT","2","3","vole litter",0.05,-9.45,16.82598099,14
"191",2012,"MAT","NFCT","2","4","moss",0.051612903,-9.45,16.82598099,14
"192",2012,"MAT","NFCT","2","4","lichen",0.006451613,-9.45,16.82598099,14
"193",2012,"MAT","NFCT","2","4","litter",0.025806452,-9.45,16.82598099,14
"194",2012,"MAT","NFCT","2","4","Bet nan",0.322580645,-9.45,16.82598099,14
"195",2012,"MAT","NFCT","2","4","Car big",0.012903226,-9.45,16.82598099,14
"196",2012,"MAT","NFCT","2","4","Cas tet",0.025806452,-9.45,16.82598099,14
"197",2012,"MAT","NFCT","2","4","Emp nig",0.012903226,-9.45,16.82598099,14
"198",2012,"MAT","NFCT","2","4","Eri vag",0.167741935,-9.45,16.82598099,14
"199",2012,"MAT","NFCT","2","4","Led pal",0.064516129,-9.45,16.82598099,14
"200",2012,"MAT","NFCT","2","4","Rub cha",0.038709677,-9.45,16.82598099,14
"201",2012,"MAT","NFCT","2","4","Sal pul",0.129032258,-9.45,16.82598099,14
"202",2012,"MAT","NFCT","2","4","Vac vit",0.077419355,-9.45,16.82598099,14
"203",2012,"MAT","NFCT","2","4","vole litter",0.064516129,-9.45,16.82598099,14
"204",2012,"MAT","NFCT","2","5","moss",0.031007752,-9.45,16.82598099,17
"205",2012,"MAT","NFCT","2","5","lichen",0.007751938,-9.45,16.82598099,17
"206",2012,"MAT","NFCT","2","5","litter",0.062015504,-9.45,16.82598099,17
"207",2012,"MAT","NFCT","2","5","bare",0.007751938,-9.45,16.82598099,17
"208",2012,"MAT","NFCT","2","5","Bet nan",0.093023256,-9.45,16.82598099,17
"209",2012,"MAT","NFCT","2","5","Car big",0.015503876,-9.45,16.82598099,17
"210",2012,"MAT","NFCT","2","5","Cas tet",0.031007752,-9.45,16.82598099,17
"211",2012,"MAT","NFCT","2","5","Emp nig",0.031007752,-9.45,16.82598099,17
"212",2012,"MAT","NFCT","2","5","Eri vag",0.186046512,-9.45,16.82598099,17
"213",2012,"MAT","NFCT","2","5","Led pal",0.015503876,-9.45,16.82598099,17
"214",2012,"MAT","NFCT","2","5","Pol bis",0.007751938,-9.45,16.82598099,17
"215",2012,"MAT","NFCT","2","5","Rub cha",0.201550388,-9.45,16.82598099,17
"216",2012,"MAT","NFCT","2","5","Sal pul",0.031007752,-9.45,16.82598099,17
"217",2012,"MAT","NFCT","2","5","Vac vit",0.124031008,-9.45,16.82598099,17
"218",2012,"MAT","NFCT","2","5","vole litter",0.15503876,-9.45,16.82598099,17
"219",2012,"MAT","NFCT","2","6","moss",0.087719298,-9.45,16.82598099,16
"220",2012,"MAT","NFCT","2","6","lichen",0.00877193,-9.45,16.82598099,16
"221",2012,"MAT","NFCT","2","6","litter",0.035087719,-9.45,16.82598099,16
"222",2012,"MAT","NFCT","2","6","Bet nan",0.035087719,-9.45,16.82598099,16
"223",2012,"MAT","NFCT","2","6","Car big",0.035087719,-9.45,16.82598099,16
"224",2012,"MAT","NFCT","2","6","Cas tet",0.052631579,-9.45,16.82598099,16
"225",2012,"MAT","NFCT","2","6","Emp nig",0.035087719,-9.45,16.82598099,16
"226",2012,"MAT","NFCT","2","6","Eri vag",0.087719298,-9.45,16.82598099,16
"227",2012,"MAT","NFCT","2","6","Led pal",0.105263158,-9.45,16.82598099,16
"228",2012,"MAT","NFCT","2","6","Pol bis",0.00877193,-9.45,16.82598099,16
"229",2012,"MAT","NFCT","2","6","Rub cha",0.280701754,-9.45,16.82598099,16
"230",2012,"MAT","NFCT","2","6","Sal pul",0.105263158,-9.45,16.82598099,16
"231",2012,"MAT","NFCT","2","6","Vac vit",0.052631579,-9.45,16.82598099,16
"232",2012,"MAT","NFCT","2","6","vole litter",0.070175439,-9.45,16.82598099,16
"233",2012,"MAT","NFCT","2","7","moss",0.037037037,-9.45,16.82598099,16
"234",2012,"MAT","NFCT","2","7","lichen",0.037037037,-9.45,16.82598099,16
"235",2012,"MAT","NFCT","2","7","litter",0.111111111,-9.45,16.82598099,16
"236",2012,"MAT","NFCT","2","7","bare",0.018518519,-9.45,16.82598099,16
"237",2012,"MAT","NFCT","2","7","Bet nan",0.185185185,-9.45,16.82598099,16
"238",2012,"MAT","NFCT","2","7","Car big",0.259259259,-9.45,16.82598099,16
"239",2012,"MAT","NFCT","2","7","Cas tet",0.018518519,-9.45,16.82598099,16
"240",2012,"MAT","NFCT","2","7","Emp nig",0.111111111,-9.45,16.82598099,16
"241",2012,"MAT","NFCT","2","7","Eri vag",0.037037037,-9.45,16.82598099,16
"242",2012,"MAT","NFCT","2","7","Rub cha",0.148148148,-9.45,16.82598099,16
"243",2012,"MAT","NFCT","2","7","Sal pul",0.018518519,-9.45,16.82598099,16
"244",2012,"MAT","NFCT","2","7","Vac vit",0.018518519,-9.45,16.82598099,16
